"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance","Referenced in"
"741.5942","015651268","Monograph","Language material ; Text","Volume","GBB0D3064","","9781606900857","Moore, Leah","","person","author","Reppion, John, author [person] ; Moore, Leah, author [person] ; Awano, Érica, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","The complete Alice in Wonderland","Alice's adventures in Wonderland ; Dynamite Entertainment presents: The complete Alice in Wonderland ; Through the looking-glass","","","United States of America","Runnemede, New Jersey","Dynamite Entertainment","2010","","1 volume (unpaged), chiefly colour illustrations, 26 cm","YK.2010.b.11669","Comic books, strips, etc ; Alice, (Fictitious character from Carroll)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","This volume collects issues 1-4 of the Dynamic Entertainment series, The complete Alice in Wonderland","",""
"741.5946","010687587","Monograph","Language material ; Text","Volume","GB7829806","","9780340233580","Art Studuim (Firm)","","organisation","","Art Studuim (Firm) [organisation] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","","","England","London","Hodder & Stoughton","1978","","31 pages, chiefly colour illustrations, 31 cm","LR.425/456","Spanish strip cartoons--Collections--Translations","","English","These illustrations originally published with Spanish text. Barcelona : Editorial RM, 1978","",""
"741.5952","015397715","Monograph","Language material ; Text","Volume","GBA9A2388","","","Hoshino, Soumei","","person","","QuinRose (Firm) [organisation] ; Hoshino, Soumei [person]","Alice in the country of hearts","Heart no kuni no Alice. English ; Wonderful wonder world","","","United States of America","Hamburg","Tokyopop","2010-","","volumes, chiefly illustrations, 19 cm","YK.2010.a.22582 ; YK.2010.a.22583 ; YK.2010.a.22584 ; YK.2010.a.29339 ; YK.2011.a.5675","Imaginary places--Comic books, strips, etc ; Alice, (Fictitious character from Carroll)--Comic books, strips, etc--Fiction ; Comic books, strips, etc--Japan--Translations into English","Comic or graphic novel ; Fantasy ; Fiction ; Novel ; Translations into English ; Young adult fiction","English","'First published in Japan in 2008 by MAG Garden'--Vol. 1, t.p. verso ; Translated from the Japanese ; Translators and adaptors vary between volume ; book reads right to left","",""
"741.5952","016034899","Monograph","Language material ; Text","Volume","GBB217500","","","Hoshino, Soumei","","person","","QuinRose (Firm) [organisation] ; Lee, JuYoun [person] ; Hoshino, Soumei [person]","Alice in the country of hearts","","","","United States of America","New York","","2012-","Omnibus edition","3 volumes, chiefly illustrations (some colour), 19 cm","YK.2012.a.24361 ; YK.2013.a.6040","Imaginary places--Comic books, strips, etc ; Mafia--Comic books, strips, etc ; Alice, (Fictitious character from Carroll)--Comic books, strips, etc","Comic or graphic novel ; Fantasy ; Novel","English","Each omnibus volume contains two individual volume ; Issued in traditional manga form which is read right to left ; Title from colophon ; Translated from the Japanese","",""
"741.597","015441026","Monograph","Language material ; Text","Volume","GBB0A9887","","9780981755052","Gregory, Raven","","person","","Tedesco, Ralph [person] ; Tyler, Joe [person] ; Gregory, Raven [person] ; Bonk, Rich [person]","Grimm fairy tales. Return to Wonderland","Return to Wonderland","","","United States of America","Ft Washington, Pennsylvania","Zenescope Entertainment","2009","","179 pages, chiefly colour illustrations, 26 cm","YK.2010.b.10430","Carroll, Lewis, 1832-1898--Adaptations ; Graphic novels ; Fairy tales--Adaptations--Comic books, strips, etc","Adaptation ; Comic or graphic novel","English","","",""
"741.5973","015536757","Monograph","Language material ; Text","Volume","GBB0B8351","","9780785143161","Cebulski, C. B.","","person","","Barrie, J. M. (James Matthew), 1860-1937 [person] ; Perrault, Charles, 1628-1703 [person] ; Carroll, Lewis, 1832-1898 [person] ; Collodi, Carlo, 1826-1890 [person] ; Cebulski, C. B. [person] ; Lemos, João [person] ; Baum, L. Frank (Lyman Frank), 1856-1919 [person]","Marvel fairy tales","Alice's adventures in Wonderland ; Avventure di Pinocchio ; Fairy tales ; Peter Pan ; Petit Chaperon rouge ; Wizard of Oz","","","United States of America","New York","Marvel Publishing","2010","","1 volume (unpaged), chiefly colour illustrations, 23 cm","YK.2010.a.27264","Watson, Mary Jane (Fictitious character)--Comic books, strips, etc ; Comic books, strips, etc--United States ; Fairy tales--Comic books, strips, etc ; Avengers (Fictitious characters)--Comic books, strips, etc ; X-Men (Fictitious characters)--Comic books, strips, etc ; Graphic novels","Comic or graphic novel","English","'Contains material originally published in magazine form as Avengers Fairy tales #1, Spider-man fairy tales #1, and X-Men fairy tales #2.'","",""
"741.5973","015657364","Monograph","Language material ; Text","Volume","GBB0E7455","","9780982363089 ; 9780982582602","Gregory, Raven","","person","","Tedesco, Ralph [person] ; Carroll, Lewis, 1832-1898 [person] ; Brusha, Joe [person] ; Leister, Daniel, 1976- [person] ; Gregory, Raven [person]","Escape from Wonderland","Alice's adventures in Wonderland","","","United States of America","Fort Washing, Penn","Zenescope Entertainment","2010","","199 pages, chiefly illustrations (chiefly colour), 27 cm","YK.2010.b.13108","Carroll, Lewis, 1832-1898--Adaptations ; Fairy tales--Adaptations--Comic books, strips, etc","Adaptation ; Comic or graphic novel ; Fantasy ; Novel","English","'Grimm fairy tales presents'--Dust Jacket ; 'This volume collects the complete comic book series Escape from Wonderland.' ; At head of title: Zenescope Entertainment presents","",""
"741.5973","015816802","Monograph","Language material ; Text","Volume","GBB165125","","9780983040453","Tedesco, Ralph","","person","","Brusha, Joe [person] ; Tedesco, Ralph [person] ; Gregory, Raven [person] ; Wickline, Dan [person]","Wonderland. House of Liddle","Grimm fairy tales presents ; House of Liddle","","","United States of America","Horsham, Pennsylvania","Zenescope Entertainment","2011","","177 pages, chiefly colour illustrations, 26 cm","YK.2011.b.15556","Carroll, Lewis, 1832-1898--Adaptations ; Fairy tales--Adaptations--Comic books, strips, etc","Adaptation ; Comic or graphic novel ; Fantasy ; Horror","English","'Created and story by Raven Gregory, Joe Brusha, Ralph Tedesco'--T.p. verso ; 'This volume reprints Grimm Fairy Tales presents Wonderland Annual 2009, 2010 and 2011 published by Zenescope Entertainment'--T.p. verso","",""
"741.5973","015964853","Monograph","Language material ; Text","Volume","GBB1C8958","","9781401225537 ; 9781781160206","Jones, Bruce","1944-","person","","Baron, David (David Andrew) [person] ; Kieth, Sam [person] ; Jones, Bruce, 1944- [person] ; Wands, Steve [person]","Batman. Through the looking glass","Through the looking glass","","","United States of America","New York","DC Comics","2011","","1 volume (unpaged), chiefly colour illustrations, 26 cm","YK.2012.b.2916","Superheroes--Comic books, strips, etc ; Batman, (Fictitious character)--Comic books, strips, etc ; Fantasy comic books, strips, etc","Comic or graphic novel ; Novel","English","","",""
"741.5973","015970008","Monograph","Language material ; Text","Volume","GBB1D2069","","9781617032356","Kirtley, Susan E.","1972-","person","","Barry, Lynda, 1956- [person] ; Kirtley, Susan E., 1972- [person]","Lynda Barry : girlhood through the looking glass","","Great comics artists series","","United States of America","Jackson","Mississippi ; University Press","2012","","xv, 217 pages, illustrations, 23 cm","m13/.10299","Barry, Lynda, 1956---Themes, motives ; Barry, Lynda, 1956---Criticism and interpretation ; Girls in literature ; Girls in art","","English","","",""
"741.5973","016058482","Monograph","Language material ; Still image ; Text","Volume","GBB232088","","9781937068400 ; 9781937068660","Gregory, Raven","","person","author","Goh, Sheldon, artist [person] ; Campbell, Jim, 1977-, illustrator [person] ; Leister, Daniel, 1976-, artist [person] ; Embury, Jason, illustrator [person] ; Gill, Robert, artist ; cartoonist [person] ; Drujiniu, Vic, artist [person] ; García, Michael, artist ; illustrator [person] ; Gregory, Raven, author [person] ; Montiel, Martin, 1977-, artist [person] ; Bonvillain, Thomas, illustrator [person] ; Colwell, Jeremy, illustrator [person] ; Ignacio Bunge, Ramón, illustrator [person]","Alice in Wonderland","Grimm fairy tales presents","","","United States of America","Horsham, Pennsylvania","Zenescope Entertainment","2012","First edition","183 pages, chiefly colour illustrations, 27 cm","YK.2013.b.5596","Alice, (Fictitious character from Carroll)--Comic books, strips, etc","Comic or graphic novel ; Fantasy","English","'This volume reprints the comic series Grimm fairy tales presents Alice in Wonderland issues #1-6 published by Zenescope Entertainment.'","",""
"741.5973","016191864","Monograph","Language material ; Still image ; Text","Volume","GBB2A5526","","9781616550462","Espinosa, Rod","","person","artist ; author","Espinosa, Rod, artist ; author [person] ; Carroll, Lewis, 1832-1898 [person]","Lewis Carroll's Alice in Wonderland","Alice in Wonderland ; Alice's adventures in Wonderland","","","United States of America","Milwaukie, Oregon","Dark Horse","2013","First edition","124 pages, chiefly colour illustrations, 27 cm","YK.2013.b.9388","Carroll, Lewis, 1832-1898--Adaptations ; Fantasy ; Graphic novels","Adaptation ; Novel","English","","",""
"741.5973","016598001","Monograph","Language material ; Still image ; Text","Volume","GBB403225","","9781613779132","Yoe, Craig","","person","author","Yoe, Craig, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Comicland","","","","United States of America","San Diego, California","","2014","","170 pages, all illustrations (black and white and colour), 29 cm","YKL.2015.b.267","Alice, (Fictitious character from Carroll)--Comic books, strips, etc","Comic or graphic novel","English","","",""
"741.5973","016684764","Monograph","Language material ; Still image ; Text","Volume","GBB439780","","9781939683632","Gregory, Raven","","person","author","Glade, Nicole, editor [person] ; Tedesco, Ralph, author ; editor [person] ; Shand, Pat, editor [person] ; Gregory, Raven, author [person] ; Brusha, Joe, author [person] ; Gregory, Raven [person]","Wonderland omnibus","Beyond Wonderland ; Escape from Wonderland ; Grimm fairy tales presents Wonderland omnibus ; Return to Wonderland ; Tales from Wonderland","","","United States of America","Horsham, Pennsylvania","Zenescope","2014","First edition, July 2014","871 pages, chiefly colour illustrations, 26 cm","YKL.2015.b.2144","Carroll, Lewis, 1832-1898--Adaptations ; Fantasy comic books, strips, etc ; Fairy tales--Adaptations--Comic books, strips, etc","Adaptation ; Comic or graphic novel","English","'This omnibus reprints the comic series Grimm fairy tales presents: Return to Wonderland, Beyond Wonderland, Escape from Wonderland, and Tales from Wonderland volume 1-3 published by Zenescope Entertainment'--Page 3","",""
"741.5973","016689594","Monograph","Language material ; Still image ; Text","Volume","GBB442223","","9781939683625","Shand, Pat","","person","author","Glade, Nicole, editor [person] ; Tedesco, Ralph [person] ; Brusha, Joe [person] ; Shand, Pat, author [person] ; Spay, Anthony, artist [person] ; Gregory, Raven [person]","Wonderland : asylum","Grimm fairy tales presents Wonderland : asylum","","","United States of America","Horsham, Pennsylvania","Zenescope","2014","First edition, June 2014","142 pages, chiefly colour illustrations, 26 cm","YKL.2015.b.1536","Carroll, Lewis, 1832-1898--Adaptations ; Fairy tales--Adaptations--Comic books, strips, etc","Adaptation ; Comic or graphic novel ; Fantasy","English","'This volume reprints the comic series Grimm fairy tales presents Wonderland: asylum #1-5 published by Zenescope Entertainment'--Title page verso ; 'Wonderland asylum takes place after Wonderland #19.' ; 'Wonderland created by Joe Brusha, Ralph Tedesco, and Raven Gregory.'","",""
"741.5973","017437815","Monograph","Language material ; Still image ; Text","Volume","GBB591378","","9781846536984","Bendis, Brian Michael","","person","author","Marts, Michael, editor [person] ; Bendis, Brian Michael, author [person] ; Schiti, Valerio, artist [person]","Guardians of the Galaxy : Through the looking glass","Through the looking glass","","","England","Tunbridge Wells, Kent","Panini Publishing","2015","","1 volume (unpaged), chiefly colour illustrations, 26 cm","YKL.2017.b.1671","Guardians of the Galaxy (Fictitious characters)--Comic books, strips, etc--Fiction ; Science fiction comic books, strips, etc","Comic or graphic novel ; Fiction","English","'Collecting Guardians of the Galaxy #24-27' --back cover","",""
"741.64","008005180","Monograph","Language material ; Text","Volume","","","","Meloni, Irene","","person","author","Meloni, Irene, author [person]","La logica del nonsenso : Alice's adventures in Wonderland","","","","Italy","Cagliari","Università degli studi di Cagliari, Dipartimento di filologie e letterature moderne","1990","","117 pages, 21 cm","YA.1991.a.26575","Carroll, Lewis, 1832-1898 ; Fiction in English--Carroll, Lewis--Illustrations--history ; Fantasy fiction, English--History and criticism ; Logic in literature ; Nonsense literature, English--History and criticism","","Italian","","",""
"741.64","009400077","Monograph","Language material ; Text","Volume","GB8010169","","9780312408466","","","","","Ovenden, Graham [person]","The illustrators of 'Alice in Wonderland' and 'Through the looking glass'","","","","England","London","Academy","1979","Revised edition","88 pages, chiefly illustrations (some colour), portraits, 20 cm","80/21030 ; X.419/8493","Fiction in English--Carroll, Lewis--Illustrations--history ; Carroll, Lewis, 1832-1898--Illustrations","","English","Previous edition: 1972 ; bibliography: p. 83-87. - Includes index","",""
"741.64","011609163","Monograph","Language material ; Text","Volume","GB7230725","","9780902620254","","","","","Ovenden, Graham [person]","The illustrators of 'Alice in Wonderland' and 'Through the looking glass'","","","","England","London","Academy","1972","","103 pages, chiefly illustrations (some colour), 1 portrait, 30 cm","f72/11925","Illustrated books--Alice in Wonderland and Through the looking glass by Carroll, Lewis, 1865-1968--Illustrations--Reproductions ; Carroll, Lewis, 1832-1898--Illustrations ; Children's stories, English--Illustrations ; Alice, (Fictitious character from Carroll) ; Fantasy fiction, English--Illustrations ; Illustration of books--Great Britain--19th century","","English","","",""
"741.64092","013279419","Monograph","Language material ; Text","Volume","GBA571660","","9780974396385","Garvey, Eleanor M.","","person","author","Garvey, Eleanor M., author [person] ; Bond, W. H. (William Henry), 1915-2005, author [person]","Tenniel's Alice : drawings by Sir John Tenniel for 'Alice's adventures in Wonderland' and 'Through the looking glass'","","","","England ; United States of America","Cambridge, Massachusetts ; London","Harvard College Library","2005","","75 pages, illustrations, 21 cm","YK.2007.a.1891","Tenniel, John, 1820-1914 ; Carroll, Lewis, 1832-1898--Illustrations ; Illustration of books--Great Britain--History--19th century","Illustration","English","","",""
"741.642","009061146","Monograph","Language material ; Text","Volume","GB99Z7384","","9780765191335","Stoffel, Stephanie Lovett","","person","","Stoffel, Stephanie Lovett [person]","The art of Alice in Wonderland","","","","England ; United States of America","London","Hi Marketing ; Smithmark","1999","","128 pages, 4 folded leaves of plates, illustrations (some colour), 26 cm","","Alice, (Fictitious character from Carroll)--Pictorial works ; Children's books--Illustrations ; Children's books--Themes, motives","Pictorial work","English","","",""
"741.642","016313453","Monograph","Language material ; Still image ; Text","Volume","GBB460809","","9780955834370 ; 9780955834387","","","","","Adamczyk-Garbowska, Monika [person] ; Vaizey, Marina [person] ; Ludlow Bookbinders [organisation] ; Hall, Charles, compositor [person] ; Artists' Choice Editions, publisher [organisation]","Illustrating Alice : an international selection of illustrated editions of Alice's adventures in Wonderland and Through the looking glass","","","","England","London ; Sheffield","Artists Choice ; Northend creative Print Solutions","2013","","201 pages, illustrations (black and white and colour), 32 cm","YK.2014.b.6409","Carroll, Lewis, 1832-1898--Bibliography ; Carroll, Lewis, 1832-1898--Illustrations ; Alice, (Fictitious character from Carroll)--In art","Bibliography ; Illustration","English","'This book is typeset in Breughel by Charles Hall, printed on Stow Ivory paper by Northend Creative Print Solutions, with the Specials bound by Ludlow Bookbinders. There will be 500 standard copies, and 68 specials with a folder containing signed prints'--colophon ; Foreword by Marina Vaizey; contributions by Monika Adamczyk-Garbowska and 13 others ; Limited edition of 500 copies","",""
"741.642","016313454","Monograph","Language material ; Text","Volume","","","9780955834387","Viazey, Marina","","person","","Viazey, Marina [person] ; Noret, Michele [person] ; Svankmajer, Jan [person] ; Chichester Clark, Emma [person] ; Gauthier, Alain, 1947- [person] ; Moser, Barry [person]","Illustrating Alice : An international selection of illustrated editions of Lewis Carroll's Alice's adventures in Wonderland and Through the looking glass","","","","England","London","Artists Choice","2013","Special - 68 numbered copies","204 pages, almost 600, 31 x 21 cm","","","","English","Leather / fine binding. folded with glicee prints all in a slipcase ; Slip-cased","",""
"741.642092","019608581","Monograph","Language material ; Still image ; Text","Volume","","","9780814214114","Hancher, Michael","1941-","person","author","Hancher, Michael, 1941-, author [person]","The Tenniel illustrations to the 'Alice' books","","","","United States of America","Columbus","Ohio State University Press","2019","Second edition","xxviii, 260 pages, 8 unnumbered pages of plates, illustrations (some colour), 29 cm","YD.2019.b.1228","Alice, (Fictitious character from Carroll) ; Tenniel, John, 1820-1914 ; Carroll, Lewis, 1832-1898--Illustrations","Illustration ; Picture","English","","",""
"741.6420924","012667770","Monograph","Language material ; Text","Volume","","","9780814203743 ; 9780814204085","Hancher, Michael","1941-","person","author","Hancher, Michael, 1941-, author [person]","The Tenniel illustrations to the 'Alice' books","","","","United States of America","Columbus","Ohio State University Press","1985","","xx, 152 pages, illustrations, 26 x 29 cm","86/28249 ; LB.31.b.708","Alice, (Fictitious character from Carroll) ; Fantasy fiction, English--Illustrations ; Tenniel, John, 1820-1914 ; Carroll, Lewis, 1832-1898--Illustrations","","English","","",""
"741.6420947","018088343","Monograph","Language material ; Still image ; Text","Volume","GBB9A4751","","9780995557000","","","","","","Russian Alices : illustrated editions of Alice in Wonderland from the USSR and Post Soviet Era","","","","England","Church Hanborough, Oxford","Artists Choice","2016","","171 pages, illustrations (black and white and colour), 32 cm","YC.2019.b.1226","Carroll, Lewis, 1832-1898--Translations into Russian--Bibliography ; Illustration of books--Russia (Federation)--History ; Illustration of books--Ukraine--History ; Illustration of books--Soviet Union--History ; Alice, (Fictitious character from Carroll)--In art ; Carroll, Lewis, 1832-1898--Illustrations","Bibliography ; Illustration","English","Title page and chapter headings appear in English and Russian","",""
"741.942","013886563","Monograph","Language material ; Text","Volume","","","","Tenniel, John","1820-1914","person","illustrator","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Houghton Library [organisation]","Tenniel's Alice","Alice's adventures in Wonderland ; Through the looking-glass","","","United States of America","Cambridge","Dept. of Printing & Graphic Arts, Harvard College Library","1978","","75 pages, illustrations, 22 cm","85/24341","Houghton Library ; Tenniel, John, 1820-1914 ; Amory, Harcourt, 1855-1925--Art collections ; Alice, (Fictitious character from Carroll) ; Fantasy fiction, English--Illustrations ; Carroll, Lewis, 1832-1898--Illustrations","","English","Drawings from the Harcourt Amory Collection in the Houghton Library, Harvard University","",""
"745.5","015799775","Monograph","Language material ; Text","Volume","GBB153531","","9781844009725","Read-Baldrey, Hannah","","person","","Read-Baldrey, Hannah [person] ; Mumford, Tiffany [person] ; Leech, Christine [person]","Everything Alice","","","","England","London","Quadrille","2011","","143 pages, colour illustrations, 26 cm","YK.2012.b.1700","Alice, (Fictitious character from Carroll) ; Handicraft","","English","Includes index","",""
